,CORES,race,YOB,deaths,births,COUNTY,mortality,,
1,1,Black,2011,2,344,ALAMANCE,5.813953488,,
2,1,Black,2012,10,358,ALAMANCE,27.93296089,,10
3,1,Black,2013,7,397,ALAMANCE,17.63224181,,
4,1,Black,2014,6,387,ALAMANCE,15.50387597,,
5,1,Black,2015,7,393,ALAMANCE,17.81170483,,
6,1,Black,2016,3,398,ALAMANCE,7.537688442,,
7,1,Hispanic,2011,1,362,ALAMANCE,2.762430939,,
8,1,Hispanic,2012,1,381,ALAMANCE,2.624671916,,
9,1,Hispanic,2013,1,356,ALAMANCE,2.808988764,,
10,1,Hispanic,2014,3,355,ALAMANCE,8.450704225,,
11,1,Hispanic,2015,3,379,ALAMANCE,7.915567282,,
12,1,Hispanic,2016,4,391,ALAMANCE,10.23017903,,
13,1,Other Non-White,2013,1,33,ALAMANCE,30.3030303,,
14,1,White,2011,8,932,ALAMANCE,8.583690987,,
15,1,White,2012,4,977,ALAMANCE,4.094165814,,
16,1,White,2013,9,998,ALAMANCE,9.018036072,,
17,1,White,2014,10,978,ALAMANCE,10.22494888,,
18,1,White,2015,4,967,ALAMANCE,4.136504654,,
19,1,White,2016,6,1018,ALAMANCE,5.893909627,,
20,10,Black,2011,1,140,BRUNSWICK,7.142857143,,
21,10,Black,2012,3,128,BRUNSWICK,23.4375,,
22,10,Black,2013,1,144,BRUNSWICK,6.944444444,,
23,10,Black,2014,1,131,BRUNSWICK,7.633587786,,
24,10,Black,2016,2,131,BRUNSWICK,15.26717557,,
25,10,Hispanic,2016,2,104,BRUNSWICK,19.23076923,,
26,10,White,2011,7,795,BRUNSWICK,8.805031447,,
27,10,White,2012,7,796,BRUNSWICK,8.793969849,,
28,10,White,2013,7,749,BRUNSWICK,9.345794393,,
29,10,White,2014,3,863,BRUNSWICK,3.476245655,,
30,10,White,2015,2,784,BRUNSWICK,2.551020408,,
31,10,White,2016,5,721,BRUNSWICK,6.93481276,,
32,100,White,2011,3,146,YANCEY ,20.54794521,,
33,100,White,2012,2,159,YANCEY ,12.57861635,,
34,100,White,2015,1,156,YANCEY ,6.41025641,,
35,11,Black,2011,1,199,BUNCOMBE,5.025125628,,
36,11,Black,2012,1,218,BUNCOMBE,4.587155963,,
37,11,Black,2013,5,223,BUNCOMBE,22.42152466,,
38,11,Black,2014,6,214,BUNCOMBE,28.03738318,,
39,11,Black,2015,4,201,BUNCOMBE,19.90049751,,
40,11,Black,2016,2,198,BUNCOMBE,10.1010101,,
41,11,Hispanic,2011,1,258,BUNCOMBE,3.875968992,,
42,11,Hispanic,2012,1,267,BUNCOMBE,3.745318352,,
43,11,Hispanic,2013,1,299,BUNCOMBE,3.344481605,,
44,11,Hispanic,2014,3,275,BUNCOMBE,10.90909091,,
45,11,Hispanic,2015,1,289,BUNCOMBE,3.460207612,,
46,11,Hispanic,2016,4,310,BUNCOMBE,12.90322581,,
47,11,Other Non-White,2015,2,61,BUNCOMBE,32.78688525,,
48,11,White,2011,11,2028,BUNCOMBE,5.424063116,,
49,11,White,2012,11,2048,BUNCOMBE,5.37109375,,
50,11,White,2013,21,2076,BUNCOMBE,10.11560694,,
51,11,White,2014,8,2031,BUNCOMBE,3.938946332,,
52,11,White,2015,5,2074,BUNCOMBE,2.410800386,,
53,11,White,2016,9,2034,BUNCOMBE,4.424778761,,
54,12,Black,2011,1,44,BURKE ,22.72727273,,
55,12,Black,2015,1,43,BURKE ,23.25581395,,
56,12,Hispanic,2011,1,102,BURKE ,9.803921569,,
57,12,Hispanic,2014,3,118,BURKE ,25.42372881,,
58,12,Hispanic,2015,1,100,BURKE ,10,,
59,12,Hispanic,2016,1,114,BURKE ,8.771929825,,
60,12,White,2011,5,654,BURKE ,7.645259939,,
61,12,White,2012,4,668,BURKE ,5.988023952,,
62,12,White,2013,2,630,BURKE ,3.174603175,,
63,12,White,2014,7,658,BURKE ,10.63829787,,
64,12,White,2015,5,680,BURKE ,7.352941176,,
65,12,White,2016,4,676,BURKE ,5.917159763,,
66,13,Black,2011,1,365,CABARRUS,2.739726027,,
67,13,Black,2012,5,405,CABARRUS,12.34567901,,
68,13,Black,2013,4,402,CABARRUS,9.950248756,,
69,13,Black,2014,2,400,CABARRUS,5,,
70,13,Black,2015,8,422,CABARRUS,18.95734597,,
71,13,Black,2016,4,443,CABARRUS,9.029345372,,
72,13,Hispanic,2011,2,411,CABARRUS,4.866180049,,
73,13,Hispanic,2012,1,390,CABARRUS,2.564102564,,
74,13,Hispanic,2013,1,379,CABARRUS,2.638522427,,
75,13,Hispanic,2014,2,409,CABARRUS,4.88997555,,
76,13,Hispanic,2015,2,430,CABARRUS,4.651162791,,
77,13,Hispanic,2016,1,424,CABARRUS,2.358490566,,
78,13,Other Non-White,2013,1,85,CABARRUS,11.76470588,,
79,13,Other Non-White,2015,1,143,CABARRUS,6.993006993,,
80,13,White,2011,7,1435,CABARRUS,4.87804878,,
81,13,White,2012,4,1373,CABARRUS,2.913328478,,
82,13,White,2013,8,1446,CABARRUS,5.532503458,,
83,13,White,2014,10,1422,CABARRUS,7.032348805,,
84,13,White,2015,5,1463,CABARRUS,3.417634997,,
85,13,White,2016,9,1447,CABARRUS,6.219765031,,
86,14,Black,2013,1,48,CALDWELL,20.83333333,,
87,14,Hispanic,2011,1,74,CALDWELL,13.51351351,,
88,14,Hispanic,2014,1,67,CALDWELL,14.92537313,,
89,14,Hispanic,2015,1,69,CALDWELL,14.49275362,,
90,14,Hispanic,2016,2,62,CALDWELL,32.25806452,,
91,14,White,2011,4,681,CALDWELL,5.873715125,,
92,14,White,2012,6,678,CALDWELL,8.849557522,,
93,14,White,2013,3,675,CALDWELL,4.444444444,,
94,14,White,2014,11,710,CALDWELL,15.49295775,,
95,14,White,2015,6,678,CALDWELL,8.849557522,,
96,14,White,2016,2,707,CALDWELL,2.828854314,,
97,15,White,2011,1,71,CAMDEN,14.08450704,,
98,16,Black,2013,1,32,CARTERET,31.25,,
99,16,Black,2014,1,37,CARTERET,27.02702703,,
100,16,Black,2016,2,35,CARTERET,57.14285714,,
101,16,Hispanic,2011,1,47,CARTERET,21.27659574,,
102,16,Hispanic,2013,1,62,CARTERET,16.12903226,,
103,16,Hispanic,2015,1,41,CARTERET,24.3902439,,
104,16,White,2011,3,524,CARTERET,5.72519084,,
105,16,White,2012,5,512,CARTERET,9.765625,,
106,16,White,2013,4,547,CARTERET,7.31261426,,
107,16,White,2014,2,485,CARTERET,4.12371134,,
108,16,White,2015,3,524,CARTERET,5.72519084,,
109,16,White,2016,2,451,CARTERET,4.4345898,,
110,17,Black,2011,2,64,CASWELL,31.25,,
111,17,Black,2014,3,70,CASWELL,42.85714286,,
112,17,Black,2015,1,56,CASWELL,17.85714286,,
113,17,White,2011,2,153,CASWELL,13.07189542,,
114,18,Black,2011,3,186,CATAWBA,16.12903226,,
115,18,Black,2012,2,189,CATAWBA,10.58201058,,
116,18,Black,2013,2,153,CATAWBA,13.07189542,,
117,18,Black,2014,3,204,CATAWBA,14.70588235,,
118,18,Black,2015,6,201,CATAWBA,29.85074627,,
119,18,Black,2016,3,176,CATAWBA,17.04545455,,
120,18,Hispanic,2011,3,285,CATAWBA,10.52631579,,
121,18,Hispanic,2014,2,283,CATAWBA,7.067137809,,
122,18,Hispanic,2016,1,286,CATAWBA,3.496503497,,
123,18,Other Non-White,2012,1,142,CATAWBA,7.042253521,,
124,18,Other Non-White,2014,1,140,CATAWBA,7.142857143,,
125,18,Other Non-White,2015,3,138,CATAWBA,21.73913043,,
126,18,Other Non-White,2016,1,134,CATAWBA,7.462686567,,
127,18,White,2011,3,1177,CATAWBA,2.548853016,,
128,18,White,2012,3,1217,CATAWBA,2.465078061,,
129,18,White,2013,7,1107,CATAWBA,6.323396567,,
130,18,White,2014,6,1179,CATAWBA,5.089058524,,
131,18,White,2015,10,1143,CATAWBA,8.748906387,,
132,18,White,2016,1,1068,CATAWBA,0.936329588,,
133,19,Black,2013,2,75,CHATHAM,26.66666667,,
134,19,Black,2014,2,86,CHATHAM,23.25581395,,
135,19,Black,2015,1,74,CHATHAM,13.51351351,,
136,19,Black,2016,2,75,CHATHAM,26.66666667,,
137,19,Hispanic,2011,2,201,CHATHAM,9.950248756,,
138,19,Hispanic,2012,2,198,CHATHAM,10.1010101,,
139,19,Hispanic,2014,3,145,CHATHAM,20.68965517,,
140,19,Hispanic,2015,3,163,CHATHAM,18.40490798,,
141,19,Hispanic,2016,3,133,CHATHAM,22.55639098,,
142,19,White,2011,3,365,CHATHAM,8.219178082,,
143,19,White,2012,2,340,CHATHAM,5.882352941,,
144,19,White,2013,3,346,CHATHAM,8.670520231,,
145,19,White,2014,4,364,CHATHAM,10.98901099,,
146,19,White,2015,3,411,CHATHAM,7.299270073,,
147,19,White,2016,4,408,CHATHAM,9.803921569,,
148,2,Black,2011,1,13,ALEXANDER,76.92307692,,
149,2,Hispanic,2012,1,29,ALEXANDER,34.48275862,,
150,2,Other Non-White,2016,1,8,ALEXANDER,125,,
151,2,White,2011,1,282,ALEXANDER,3.546099291,,
152,2,White,2012,1,333,ALEXANDER,3.003003003,,
153,2,White,2013,1,311,ALEXANDER,3.215434084,,
154,2,White,2014,1,296,ALEXANDER,3.378378378,,
155,2,White,2015,1,302,ALEXANDER,3.311258278,,
156,2,White,2016,5,296,ALEXANDER,16.89189189,,
157,20,Hispanic,2013,1,16,CHEROKEE,62.5,,
158,20,Hispanic,2014,1,8,CHEROKEE,125,,
159,20,Hispanic,2015,1,10,CHEROKEE,100,,
160,20,Other Non-White,2011,2,11,CHEROKEE,181.8181818,,
161,20,White,2011,1,208,CHEROKEE,4.807692308,,
162,20,White,2012,1,194,CHEROKEE,5.154639175,,
163,20,White,2013,1,178,CHEROKEE,5.617977528,,
164,20,White,2014,2,190,CHEROKEE,10.52631579,,
165,20,White,2015,1,192,CHEROKEE,5.208333333,,
166,20,White,2016,1,235,CHEROKEE,4.255319149,,
167,21,Black,2011,3,83,CHOWAN,36.14457831,,
168,21,Black,2015,2,77,CHOWAN,25.97402597,,
169,21,Hispanic,2013,1,13,CHOWAN,76.92307692,,
170,21,White,2012,1,67,CHOWAN,14.92537313,,
171,21,White,2014,1,75,CHOWAN,13.33333333,,
172,22,Black,2015,1,1,CLAY,1000,,
173,22,White,2011,1,66,CLAY,15.15151515,,
174,22,White,2015,1,76,CLAY,13.15789474,,
175,23,Black,2011,7,301,CLEVELAND,23.25581395,,
176,23,Black,2012,6,274,CLEVELAND,21.89781022,,
177,23,Black,2013,8,275,CLEVELAND,29.09090909,,
178,23,Black,2014,4,251,CLEVELAND,15.93625498,,
179,23,Black,2015,4,270,CLEVELAND,14.81481481,,
180,23,Black,2016,2,260,CLEVELAND,7.692307692,,
181,23,Hispanic,2012,1,51,CLEVELAND,19.60784314,,
182,23,Hispanic,2016,2,48,CLEVELAND,41.66666667,,
183,23,White,2011,6,715,CLEVELAND,8.391608392,,
184,23,White,2012,1,755,CLEVELAND,1.324503311,,
185,23,White,2013,4,710,CLEVELAND,5.633802817,,
186,23,White,2014,3,741,CLEVELAND,4.048582996,,
187,23,White,2015,5,747,CLEVELAND,6.693440428,,
188,23,White,2016,7,733,CLEVELAND,9.549795362,,
189,24,Black,2011,3,241,COLUMBUS,12.44813278,,
190,24,Black,2013,3,219,COLUMBUS,13.69863014,,
191,24,Black,2014,5,191,COLUMBUS,26.17801047,,
192,24,Black,2015,1,173,COLUMBUS,5.780346821,,
193,24,Black,2016,3,188,COLUMBUS,15.95744681,,
194,24,Hispanic,2012,2,63,COLUMBUS,31.74603175,,
195,24,Hispanic,2013,1,63,COLUMBUS,15.87301587,,
196,24,Hispanic,2014,2,68,COLUMBUS,29.41176471,,
197,24,Other Non-White,2013,1,22,COLUMBUS,45.45454545,,
198,24,Other Non-White,2014,1,26,COLUMBUS,38.46153846,,
199,24,Other Non-White,2016,1,20,COLUMBUS,50,,
200,24,White,2011,3,327,COLUMBUS,9.174311927,,
201,24,White,2013,1,348,COLUMBUS,2.873563218,,
202,24,White,2014,1,323,COLUMBUS,3.095975232,,
203,24,White,2015,5,340,COLUMBUS,14.70588235,,
204,24,White,2016,2,324,COLUMBUS,6.172839506,,
205,25,Black,2011,3,317,CRAVEN,9.463722397,,
206,25,Black,2012,2,311,CRAVEN,6.430868167,,
207,25,Black,2013,4,302,CRAVEN,13.24503311,,
208,25,Black,2014,1,294,CRAVEN,3.401360544,,
209,25,Black,2015,6,269,CRAVEN,22.30483271,,
210,25,Black,2016,3,301,CRAVEN,9.966777409,,
211,25,Hispanic,2011,1,167,CRAVEN,5.988023952,,
212,25,Hispanic,2012,1,155,CRAVEN,6.451612903,,
213,25,Hispanic,2016,1,144,CRAVEN,6.944444444,,
214,25,Other Non-White,2014,1,86,CRAVEN,11.62790698,,
215,25,Other Non-White,2015,1,89,CRAVEN,11.23595506,,
216,25,Other Non-White,2016,1,90,CRAVEN,11.11111111,,
217,25,White,2011,8,1073,CRAVEN,7.455731594,,
218,25,White,2012,12,1073,CRAVEN,11.18359739,,
219,25,White,2013,6,969,CRAVEN,6.191950464,,
220,25,White,2014,5,971,CRAVEN,5.149330587,,
221,25,White,2015,3,933,CRAVEN,3.215434084,,
222,25,White,2016,5,904,CRAVEN,5.530973451,,
223,26,Black,2011,20,2039,CUMBERLAND,9.808729769,,
224,26,Black,2012,27,1855,CUMBERLAND,14.55525606,,
225,26,Black,2013,23,2027,CUMBERLAND,11.34681796,,
226,26,Black,2014,36,2004,CUMBERLAND,17.96407186,,
227,26,Black,2015,24,1924,CUMBERLAND,12.47401247,,
228,26,Black,2016,31,2039,CUMBERLAND,15.20353114,,
229,26,Hispanic,2011,3,821,CUMBERLAND,3.65408039,,
230,26,Hispanic,2012,5,716,CUMBERLAND,6.983240223,,
231,26,Hispanic,2013,4,764,CUMBERLAND,5.235602094,,
232,26,Hispanic,2014,7,769,CUMBERLAND,9.102730819,,
233,26,Hispanic,2015,9,742,CUMBERLAND,12.12938005,,
234,26,Hispanic,2016,4,779,CUMBERLAND,5.13478819,,
235,26,Other Non-White,2011,1,274,CUMBERLAND,3.649635036,,
236,26,Other Non-White,2012,1,289,CUMBERLAND,3.460207612,,
237,26,Other Non-White,2013,1,309,CUMBERLAND,3.236245955,,
238,26,Other Non-White,2014,3,327,CUMBERLAND,9.174311927,,
239,26,Other Non-White,2015,2,274,CUMBERLAND,7.299270073,,
240,26,Other Non-White,2016,1,300,CUMBERLAND,3.333333333,,
241,26,White,2011,20,2937,CUMBERLAND,6.809669731,,
242,26,White,2012,10,2674,CUMBERLAND,3.739715782,,
243,26,White,2013,18,2591,CUMBERLAND,6.947124662,,
244,26,White,2014,18,2600,CUMBERLAND,6.923076923,,
245,26,White,2015,18,2473,CUMBERLAND,7.278608977,,
246,26,White,2016,17,2328,CUMBERLAND,7.302405498,,
247,27,Hispanic,2014,2,19,CURRITUCK,105.2631579,,
248,27,Other Non-White,2014,1,9,CURRITUCK,111.1111111,,
249,27,White,2011,2,201,CURRITUCK,9.950248756,,
250,27,White,2012,2,182,CURRITUCK,10.98901099,,
251,27,White,2014,1,219,CURRITUCK,4.566210046,,
252,28,Hispanic,2011,2,58,DARE,34.48275862,,
253,28,Hispanic,2013,1,59,DARE,16.94915254,,
254,28,White,2012,2,311,DARE,6.430868167,,
255,28,White,2013,1,267,DARE,3.745318352,,
256,28,White,2014,2,291,DARE,6.872852234,,
257,28,White,2015,1,275,DARE,3.636363636,,
258,29,Black,2011,1,174,DAVIDSON,5.747126437,,
259,29,Black,2012,8,169,DAVIDSON,47.33727811,,
260,29,Black,2013,2,156,DAVIDSON,12.82051282,,
261,29,Black,2014,2,178,DAVIDSON,11.23595506,,
262,29,Black,2015,3,203,DAVIDSON,14.77832512,,
263,29,Black,2016,4,189,DAVIDSON,21.16402116,,
264,29,Hispanic,2012,2,209,DAVIDSON,9.56937799,,
265,29,Hispanic,2013,1,217,DAVIDSON,4.608294931,,
266,29,Hispanic,2014,1,214,DAVIDSON,4.672897196,,
267,29,Hispanic,2015,2,201,DAVIDSON,9.950248756,,
268,29,Hispanic,2016,4,204,DAVIDSON,19.60784314,,
269,29,Other Non-White,2012,1,49,DAVIDSON,20.40816327,,
270,29,White,2011,8,1284,DAVIDSON,6.230529595,,
271,29,White,2012,12,1239,DAVIDSON,9.685230024,,
272,29,White,2013,4,1305,DAVIDSON,3.0651341,,
273,29,White,2014,4,1313,DAVIDSON,3.046458492,,
274,29,White,2015,12,1307,DAVIDSON,9.181331293,,
275,29,White,2016,8,1344,DAVIDSON,5.952380952,,
276,3,Hispanic,2015,1,22,ALLEGHANY,45.45454545,,
277,30,Black,2014,1,17,DAVIE ,58.82352941,,
278,30,White,2011,3,301,DAVIE ,9.966777409,,
279,30,White,2012,2,340,DAVIE ,5.882352941,,
280,30,White,2013,2,297,DAVIE ,6.734006734,,
281,30,White,2014,1,295,DAVIE ,3.389830508,,
282,30,White,2015,3,302,DAVIE ,9.933774834,,
283,30,White,2016,1,338,DAVIE ,2.958579882,,
284,31,Black,2011,1,190,DUPLIN,5.263157895,,
285,31,Black,2012,3,169,DUPLIN,17.75147929,,
286,31,Black,2013,2,166,DUPLIN,12.04819277,,
287,31,Black,2014,1,165,DUPLIN,6.060606061,,
288,31,Black,2015,4,165,DUPLIN,24.24242424,,
289,31,Black,2016,2,148,DUPLIN,13.51351351,,
290,31,Hispanic,2012,1,280,DUPLIN,3.571428571,,
291,31,Hispanic,2014,1,293,DUPLIN,3.412969283,,
292,31,Hispanic,2015,1,301,DUPLIN,3.322259136,,
293,31,Hispanic,2016,2,274,DUPLIN,7.299270073,,
294,31,White,2011,2,321,DUPLIN,6.230529595,,
295,31,White,2012,2,290,DUPLIN,6.896551724,,
296,31,White,2013,4,289,DUPLIN,13.84083045,,
297,31,White,2014,1,302,DUPLIN,3.311258278,,
298,31,White,2015,7,278,DUPLIN,25.17985612,,
299,32,Black,2011,18,1399,DURHAM ,12.8663331,,
300,32,Black,2012,27,1449,DURHAM ,18.63354037,,
301,32,Black,2013,16,1451,DURHAM ,11.02687802,,
302,32,Black,2014,24,1511,DURHAM ,15.88352085,,
303,32,Black,2015,15,1399,DURHAM ,10.72194425,,
304,32,Black,2016,18,1421,DURHAM ,12.66713582,,
305,32,Hispanic,2011,3,943,DURHAM ,3.181336161,,
306,32,Hispanic,2012,2,917,DURHAM ,2.181025082,,
307,32,Hispanic,2013,2,950,DURHAM ,2.105263158,,
308,32,Hispanic,2014,6,961,DURHAM ,6.243496358,,
309,32,Hispanic,2015,5,917,DURHAM ,5.452562704,,
310,32,Hispanic,2016,2,987,DURHAM ,2.026342452,,
311,32,Other Non-White,2012,1,284,DURHAM ,3.521126761,,
312,32,Other Non-White,2014,2,308,DURHAM ,6.493506494,,
313,32,Other Non-White,2016,2,294,DURHAM ,6.802721088,,
314,32,White,2011,6,1595,DURHAM ,3.761755486,,
315,32,White,2012,4,1671,DURHAM ,2.393776182,,
316,32,White,2013,8,1510,DURHAM ,5.298013245,,
317,32,White,2014,7,1723,DURHAM ,4.06268137,,
318,32,White,2015,5,1636,DURHAM ,3.056234719,,
319,32,White,2016,5,1644,DURHAM ,3.04136253,,
320,33,Black,2011,3,439,EDGECOMBE,6.833712984,,
321,33,Black,2012,5,425,EDGECOMBE,11.76470588,,
322,33,Black,2013,5,414,EDGECOMBE,12.07729469,,
323,33,Black,2014,4,409,EDGECOMBE,9.7799511,,
324,33,Black,2015,4,406,EDGECOMBE,9.852216749,,
325,33,Black,2016,7,385,EDGECOMBE,18.18181818,,
326,33,Hispanic,2016,1,38,EDGECOMBE,26.31578947,,
327,33,White,2011,3,170,EDGECOMBE,17.64705882,,
328,33,White,2013,3,169,EDGECOMBE,17.75147929,,
329,33,White,2015,1,172,EDGECOMBE,5.813953488,,
330,33,White,2016,2,144,EDGECOMBE,13.88888889,,
331,34,Black,2011,22,1292,FORSYTH,17.02786378,,
332,34,Black,2012,20,1351,FORSYTH,14.803849,,
333,34,Black,2013,15,1322,FORSYTH,11.34644478,,
334,34,Black,2014,14,1319,FORSYTH,10.61410159,,
335,34,Black,2015,10,1252,FORSYTH,7.987220447,,
336,34,Black,2016,15,1200,FORSYTH,12.5,,
337,34,Hispanic,2011,7,1018,FORSYTH,6.876227898,,
338,34,Hispanic,2012,8,1011,FORSYTH,7.912957468,,
339,34,Hispanic,2013,9,955,FORSYTH,9.42408377,,
340,34,Hispanic,2014,3,961,FORSYTH,3.121748179,,
341,34,Hispanic,2015,7,869,FORSYTH,8.055235903,,
342,34,Hispanic,2016,12,920,FORSYTH,13.04347826,,
343,34,Other Non-White,2012,2,128,FORSYTH,15.625,,
344,34,Other Non-White,2013,2,152,FORSYTH,13.15789474,,
345,34,Other Non-White,2014,1,160,FORSYTH,6.25,,
346,34,Other Non-White,2016,1,187,FORSYTH,5.347593583,,
347,34,White,2011,17,2144,FORSYTH,7.929104478,,
348,34,White,2012,17,2134,FORSYTH,7.966260544,,
349,34,White,2013,11,2093,FORSYTH,5.255613951,,
350,34,White,2014,11,2108,FORSYTH,5.218216319,,
351,34,White,2015,14,2060,FORSYTH,6.796116505,,
352,34,White,2016,14,2188,FORSYTH,6.398537477,,
353,35,Black,2011,2,157,FRANKLIN ,12.7388535,,
354,35,Black,2012,3,180,FRANKLIN ,16.66666667,,
355,35,Black,2013,1,192,FRANKLIN ,5.208333333,,
356,35,Black,2014,2,196,FRANKLIN ,10.20408163,,
357,35,Black,2015,6,183,FRANKLIN ,32.78688525,,
358,35,Black,2016,2,197,FRANKLIN ,10.15228426,,
359,35,Hispanic,2014,1,63,FRANKLIN ,15.87301587,,
360,35,Hispanic,2016,1,77,FRANKLIN ,12.98701299,,
361,35,White,2011,3,404,FRANKLIN ,7.425742574,,
362,35,White,2012,5,388,FRANKLIN ,12.88659794,,
363,35,White,2014,4,401,FRANKLIN ,9.975062344,,
364,35,White,2015,3,443,FRANKLIN ,6.772009029,,
365,35,White,2016,1,399,FRANKLIN ,2.506265664,,
366,36,Black,2011,4,485,GASTON  ,8.24742268,,
367,36,Black,2012,9,472,GASTON  ,19.06779661,,
368,36,Black,2013,14,447,GASTON  ,31.31991051,,
369,36,Black,2014,6,475,GASTON  ,12.63157895,,
370,36,Black,2015,8,522,GASTON  ,15.3256705,,
371,36,Black,2016,3,492,GASTON  ,6.097560976,,
372,36,Hispanic,2014,1,240,GASTON  ,4.166666667,,
373,36,Hispanic,2015,1,239,GASTON  ,4.184100418,,
374,36,Hispanic,2016,3,303,GASTON  ,9.900990099,,
375,36,Other Non-White,2011,1,45,GASTON  ,22.22222222,,
376,36,Other Non-White,2016,1,47,GASTON  ,21.27659574,,
377,36,White,2011,8,1768,GASTON  ,4.524886878,,
378,36,White,2012,15,1751,GASTON  ,8.566533409,,
379,36,White,2013,8,1711,GASTON  ,4.675628288,,
380,36,White,2014,10,1760,GASTON  ,5.681818182,,
381,36,White,2015,11,1722,GASTON  ,6.387921022,,
382,36,White,2016,8,1682,GASTON  ,4.756242568,,
383,37,Black,2015,1,23,GATES,43.47826087,,
384,37,Other Non-White,2016,1,2,GATES,500,,
385,37,White,2014,1,66,GATES,15.15151515,,
386,38,White,2012,1,78,GRAHAM,12.82051282,,
387,39,Black,2012,2,165,GRANVILLE,12.12121212,,
388,39,Black,2013,3,154,GRANVILLE,19.48051948,,
389,39,Black,2014,1,191,GRANVILLE,5.235602094,,
390,39,Black,2015,1,175,GRANVILLE,5.714285714,,
391,39,Black,2016,2,168,GRANVILLE,11.9047619,,
392,39,Hispanic,2011,2,72,GRANVILLE,27.77777778,,
393,39,Hispanic,2013,1,65,GRANVILLE,15.38461538,,
394,39,Hispanic,2014,1,64,GRANVILLE,15.625,,
395,39,Hispanic,2016,1,72,GRANVILLE,13.88888889,,
396,39,White,2011,2,306,GRANVILLE,6.535947712,,
397,39,White,2012,2,323,GRANVILLE,6.191950464,,
398,39,White,2013,3,300,GRANVILLE,10,,
399,39,White,2014,2,283,GRANVILLE,7.067137809,,
400,39,White,2015,3,327,GRANVILLE,9.174311927,,
401,39,White,2016,1,316,GRANVILLE,3.164556962,,
402,4,Black,2012,4,146,ANSON,27.39726027,,
403,4,Black,2013,4,148,ANSON,27.02702703,,
404,4,Black,2015,2,129,ANSON,15.50387597,,
405,4,Black,2016,2,138,ANSON,14.49275362,,
406,4,Other Non-White,2015,2,5,ANSON,400,,
407,4,White,2011,1,98,ANSON,10.20408163,,
408,4,White,2013,1,95,ANSON,10.52631579,,
409,4,White,2014,2,96,ANSON,20.83333333,,
410,40,Black,2011,1,76,GREENE ,13.15789474,,
411,40,Black,2013,2,65,GREENE ,30.76923077,,
412,40,Black,2014,1,86,GREENE ,11.62790698,,
413,40,Black,2016,2,66,GREENE ,30.3030303,,
414,40,Hispanic,2016,1,53,GREENE ,18.86792453,,
415,40,White,2011,1,89,GREENE ,11.23595506,,
416,40,White,2013,1,86,GREENE ,11.62790698,,
417,41,Black,2011,30,2366,GUILFORD,12.67962806,,
418,41,Black,2012,26,2428,GUILFORD,10.70840198,,
419,41,Black,2013,32,2487,GUILFORD,12.86690792,,
420,41,Black,2014,33,2434,GUILFORD,13.55792933,,
421,41,Black,2015,23,2455,GUILFORD,9.368635438,,
422,41,Black,2016,37,2516,GUILFORD,14.70588235,,
423,41,Hispanic,2011,5,743,GUILFORD,6.729475101,,
424,41,Hispanic,2012,5,792,GUILFORD,6.313131313,,
425,41,Hispanic,2013,3,804,GUILFORD,3.731343284,,
426,41,Hispanic,2014,4,775,GUILFORD,5.161290323,,
427,41,Hispanic,2015,5,768,GUILFORD,6.510416667,,
428,41,Hispanic,2016,5,835,GUILFORD,5.988023952,,
429,41,Other Non-White,2012,2,485,GUILFORD,4.12371134,,
430,41,Other Non-White,2013,1,476,GUILFORD,2.100840336,,
431,41,Other Non-White,2014,2,506,GUILFORD,3.95256917,,
432,41,Other Non-White,2015,5,489,GUILFORD,10.22494888,,
433,41,Other Non-White,2016,3,496,GUILFORD,6.048387097,,
434,41,White,2011,10,2549,GUILFORD,3.923107101,,
435,41,White,2012,16,2459,GUILFORD,6.506710045,,
436,41,White,2013,17,2402,GUILFORD,7.07743547,,
437,41,White,2014,9,2370,GUILFORD,3.797468354,,
438,41,White,2015,13,2383,GUILFORD,5.455308435,,
439,41,White,2016,7,2411,GUILFORD,2.903359602,,
440,42,Black,2011,8,359,HALIFAX,22.28412256,,
441,42,Black,2012,6,345,HALIFAX,17.39130435,,
442,42,Black,2013,4,337,HALIFAX,11.8694362,,
443,42,Black,2014,5,353,HALIFAX,14.16430595,,
444,42,Black,2015,5,337,HALIFAX,14.83679525,,
445,42,Black,2016,4,337,HALIFAX,11.8694362,,
446,42,Hispanic,2016,1,23,HALIFAX,43.47826087,,
447,42,White,2011,1,170,HALIFAX,5.882352941,,
448,42,White,2012,1,191,HALIFAX,5.235602094,,
449,42,White,2013,1,165,HALIFAX,6.060606061,,
450,42,White,2014,1,191,HALIFAX,5.235602094,,
451,42,White,2015,1,191,HALIFAX,5.235602094,,
452,42,White,2016,2,182,HALIFAX,10.98901099,,
453,43,Black,2011,5,346,HARNETT,14.45086705,,
454,43,Black,2012,6,367,HARNETT,16.34877384,,
455,43,Black,2013,4,377,HARNETT,10.61007958,,
456,43,Black,2014,10,410,HARNETT,24.3902439,,
457,43,Black,2015,3,333,HARNETT,9.009009009,,
458,43,Black,2016,4,371,HARNETT,10.78167116,,
459,43,Hispanic,2011,2,281,HARNETT,7.117437722,,
460,43,Hispanic,2012,2,267,HARNETT,7.490636704,,
461,43,Hispanic,2015,1,313,HARNETT,3.194888179,,
462,43,Hispanic,2016,2,310,HARNETT,6.451612903,,
463,43,Other Non-White,2013,1,59,HARNETT,16.94915254,,
464,43,Other Non-White,2014,1,70,HARNETT,14.28571429,,
